Service ID,Provider,Service Type,Service Model,Edge Node ID,CPU Utilization,Memory Usage,Storage Usage,Network Bandwidth,Service Latency,Response Time,Throughput,Load Balancing,QoS Score,Workload Variability,Optimal Service Placement
S0001,IBM,Database,PaaS,E3,73.72425410470117,6966,458,684.5394831089353,161.67730141957065,473.2924816741551,992.4710263617884,83.07239083065505,0.8039788513418047,3,0
S0002,IBM,AI Model,PaaS,E4,25.4063251999005,1381,981,940.7813593395616,224.98671153041224,319.7388597386692,647.6894922718031,94.09516423817296,0.5523812682257201,1,0
S0003,IBM,Network,IaaS,E1,25.344254582394395,1397,185,56.31798652205084,248.65257113801587,223.2934348519407,401.7784131192519,70.46945655917092,0.7271139119034347,3,0
S0004,IBM,AI Model,PaaS,E4,20.90813564261656,2513,250,326.4555347391419,210.4856136324936,267.3254081146979,264.84401981201245,64.49403397669298,0.6193829470019867,2,0
S0005,IBM,AI Model,PaaS,E3,91.737604872461,6809,299,443.7949494996917,277.60153170947655,107.8181157533596,879.1887224456543,50.72575472638044,0.9177823992856176,1,0
S0006,AWS,Storage,IaaS,E1,75.31312695942552,6021,363,900.2677553354426,246.99560600342429,377.7666402393314,823.8369515078276,78.74195189299374,0.8919597924337699,1,0
S0007,IBM,Network,IaaS,E3,46.49385563765481,1795,918,962.6388321430652,170.74981799380794,375.745716704826,272.22667974041565,70.11373837157169,0.9120899998126792,1,0
S0008,AWS,Network,IaaS,E3,42.240168596574144,1131,417,449.67409403136895,203.0647914299024,81.30347718983822,240.6004856392448,68.73246095074144,0.8618047188789757,1,0
S0009,IBM,Network,IaaS,E2,46.22774223093872,1394,478,752.5281280207693,278.2609416917528,440.2094074248329,729.3799379706168,59.146766064210624,0.9163416118100256,1,0
S0010,Google Cloud,AI Model,PaaS,E1,78.09901483858863,1308,879,536.3444135268381,187.65457305170224,141.9029723419196,349.2044588228215,71.50276725956371,0.6004143750874604,2,0
S0011,Azure,Database,PaaS,E2,69.60279583028108,4154,856,542.4051053939627,248.31804965405004,491.3054698589413,341.07885844386,99.2220976791684,0.7260218882899008,2,0
S0012,AWS,Network,IaaS,E1,33.8896675900601,6780,529,285.3185199156929,208.19909855904615,197.62247687825044,194.6757347142725,64.88770768361222,0.845923439972984,2,0
S0013,IBM,AI Model,PaaS,E3,33.05820015005632,3937,363,224.78668340524072,167.82122651283763,97.16318877990484,300.7767437243384,79.98522067040501,0.8186962489675674,3,0
S0014,Google Cloud,Storage,IaaS,E3,27.3796737285048,1808,549,295.12529246480074,76.34226764752917,182.3428545593696,456.1321797130171,88.82434406578334,0.8581772414370434,1,1
S0015,Azure,Database,PaaS,E4,69.52270397760036,5226,770,560.7647271845085,130.6692682431863,225.68836106162465,746.1964204087948,87.45789115882658,0.6121291915756158,1,0
S0016,AWS,Storage,IaaS,E1,77.32794966663019,6442,404,38.863634161868106,290.4841333259461,43.96080878876447,369.4926896930623,66.43871437462954,0.5492173545224949,2,0
S0017,Azure,Database,PaaS,E2,39.8784821243753,756,534,908.1764549128418,199.04078806541705,293.32700679941183,362.17412250585056,80.54300417584253,0.958403289037388,1,0
S0018,Google Cloud,AI Model,PaaS,E4,21.570872077318462,3407,260,164.72087245427846,171.49663720000194,302.8398955357612,320.667589924814,93.56323426350788,0.7800859477836792,3,0
S0019,AWS,Compute,IaaS,E4,26.16287506073205,7105,753,227.88779010267268,280.22220453082707,372.0759231212414,504.3694841354909,50.77237138665389,0.5769129622537055,1,0
S0020,Azure,Database,PaaS,E4,92.58950261337728,1441,93,523.0934146831698,178.02097540604737,24.293247222464213,221.6048630442496,71.78671784216539,0.8967182909436808,1,0
S0021,IBM,Storage,IaaS,E2,42.15835831080652,5878,590,713.0136186739065,160.19434293313387,275.2067250725768,511.3491973305193,61.21367091209527,0.9574649683146412,3,0
S0022,AWS,AI Model,PaaS,E4,77.69173608786002,1031,620,104.77176419695331,228.99670226931056,35.92464230262554,718.9667783849553,69.43161451994195,0.5847817592855545,2,0
